Country Name;2018;2019
Aruba;3.62604141352957;4.25746204335427
Africa Eastern and Southern;4.72080474200537;4.64496717329564
Afghanistan;0.626149149168802;2.30237251516839
Africa Western and Central;1.78404994832042;1.98309228487231
Angola;19.6289379701521;17.080954143438
Albania;2.02805963071135;1.41109078954247
Andorra;;
Arab World;2.45719835917882;1.09184802655853
United Arab Emirates;3.06863379251993;-1.93108114782171
Argentina;34.2772237131003;53.5483043492339
Armenia;2.52023382001632;1.44344660770699
American Samoa;;
Antigua and Barbuda;1.20715793367006;1.43135598182988
Australia;1.91140094445694;1.6107678729038
Austria;1.99837981429547;1.53089564152644
Azerbaijan;2.26854690373999;2.61057182799215
Burundi;-2.81469807668464;-0.686772170797372
Belgium;2.05316499865184;1.4368195699643
Benin;0.919170717886098;0.732849371241047
Burkina Faso;1.95594302672532;-3.23338933983324
Bangladesh;5.54362139486472;5.59199639930633
Bulgaria;2.8145447382483;3.10372944796774
Bahrain;2.08766938046983;1.00582004702132
Bahamas, The;2.26586346678732;2.49123527368049
Bosnia and Herzegovina;1.41710814018034;0.562782154061217
Belarus;4.8723022055069;5.59815595039853
Belize;0.269982622646363;0.187069385181459
Bermuda;;
Bolivia;2.27205987230154;1.83954504969027
Brazil;3.66485028376727;3.73297621216898
Barbados;3.67381410406796;4.10028964518462
Brunei Darussalam;1.02505179290213;-0.390522069165538
Bhutan;2.72396386183714;2.72643037388829
Botswana;3.23801558947711;2.77286442863323
Central African Republic;1.61215686991552;2.68537355266785
Canada;2.26822567248104;1.94926902411596
Central Europe and the Baltics;2.53445424186594;2.66456133425436
Switzerland;0.936335464113563;0.362886179940615
Channel Islands;;
Chile;2.43488981353054;2.55754475703329
China;2.07479039965575;2.89923416358229
Cote d'Ivoire;0.3594090313807;-1.10686343994195
Cameroon;1.0688581131292;2.45280214062729
Congo, Dem. Rep.;;
Congo, Rep.;1.15277896375524;2.20607305781522
Colombia;3.2405693293057;3.5230193274144
Comoros;;
Cabo Verde;1.25699566690508;1.10666674296062
Costa Rica;2.22111461526584;2.09604635327805
Caribbean small states;1.20715793367006;1.00054293027233
Cuba;;
Curacao;2.58368756641871;2.62220783425054
Cayman Islands;;
Cyprus;1.43549119531763;0.250370996758475
Czechia;2.14949494949498;2.84787595918044
Germany;1.73216879766948;1.44565976888253
Djibouti;0.147970849877118;3.31925372703827
Dominica;0.989191119189886;1.50462353858142
Denmark;0.813609467455621;0.758131572511616
Dominican Republic;3.5644342601351;1.8106037704296
Algeria;4.26999020467083;1.95176821052892
East Asia & Pacific (excluding high income);3.19834755924998;1.94257500833107
Early-demographic dividend;3.97561015740694;2.76252019386107
East Asia & Pacific;2.36854905806702;1.70397863236261
Europe & Central Asia (excluding high income);2.56572880132715;2.64328192719552
Europe & Central Asia;2.01321972250341;1.76373586528845
Ecuador;-0.224103246005501;0.266012515466146
Egypt, Arab Rep.;14.4014657807422;9.15279959324804
Euro area;1.68923965804135;1.44123966942342
Eritrea;;
Spain;1.67498136863794;0.699518994458692
Estonia;3.43632688420446;2.27725931243518
Ethiopia;13.8330356586661;15.8096321719344
European Union;1.73860861988179;1.63052260754342
Fragile and conflict affected situations;3.21453925489093;2.37758732789784
Finland;1.08382098409304;1.02409392963425
Fiji;4.0814763764453;1.77310182460277
France;1.85081508315501;1.10825492288292
Faroe Islands;;
Micronesia, Fed. Sts.;1.49840023593732;1.92385170787928
Gabon;4.74906652083221;2.46456756151188
United Kingdom;2.29283990345937;1.73810460086515
Georgia;2.6152447139767;4.85289821696723
Ghana;7.80876516610703;7.14364003330856
Gibraltar;;
Guinea;9.82761701259194;9.4700103925301
Gambia, The;6.52096823946574;7.11567625631189
Guinea-Bissau;0.38132470279102;0.246600268147865
Equatorial Guinea;1.06007410662165;1.53027528964192
Greece;0.625621413453609;0.253007522038191
Grenada;0.804102313277022;0.598149764736098
Greenland;;
Guatemala;3.75186186704505;3.69998398008605
Guam;;
Guyana;1.28284288443521;2.08723089162013
High income;1.88110801380598;1.61519988737214
Hong Kong SAR, China;2.40613432046534;2.88320853773994
Honduras;4.34734937777525;4.36587159819271
Heavily indebted poor countries (HIPC);3.06735996058356;2.80270307928108
Croatia;1.50012501041755;0.771820346498037
Haiti;12.4814111170435;18.7037825672506
Hungary;2.8502479259464;3.33858635382014
IBRD only;3.22703471046143;2.58405829251272
IDA & IBRD total;3.19834755924998;2.68537355266785
IDA total;2.9676036600445;2.72643037388829
IDA blend;2.4803084319191;1.989587441209
Indonesia;3.19834755924998;3.03058460941658
IDA only;3.06735996058356;2.86758803446903
Isle of Man;;
India;3.93882646691633;3.72950573539127
Not classified;;
Ireland;0.471130713712891;0.937842961189285
Iran, Islamic Rep.;18.0141183371874;39.9073455697784
Iraq;0.36744148893688;-0.198965380023939
Iceland;2.68291768267385;3.01397179156058
Israel;0.805060379528465;0.817645940292847
Italy;1.13748763600396;0.611246943765281
Jamaica;3.73663882152162;3.90510000865874
Jordan;4.46231108475482;0.76151404726555
Japan;0.989094598021811;0.468776159383928
Kazakhstan;6.16366247577756;5.33356098916663
Kenya;4.68980646776328;5.23963795764789
Kyrgyz Republic;1.5426614523843;1.13362257718806
Cambodia;2.45908515380142;1.94257500833107
Kiribati;0.564030491493486;-1.81307995302948
St. Kitts and Nevis;-1.03712214131572;-0.329562063663953
Korea, Rep.;1.47583935002644;0.383000303608088
Kuwait;0.543133148199583;1.09184802655853
Latin America & Caribbean (excluding high income);3.4025017947204;2.50460959460401
Lao PDR;2.04039266890203;3.32255881256922
Lebanon;6.07698907889611;3.00538949390382
